queue_rank,probe_id,timing_rank,timing_probe_id,base_queue_rank,base_probe_id,variant_side,variant_indicator_id,variant_lookback_bars,baseline_lookback_bars,anchor_type,recipe,anchor_id,anchor_signal_role,anchor_strategy_role,trigger_id,trigger_signal_role,trigger_strategy_role,probe_timeframe,instruments,anchor_timeframe,pair_prior_score,pair_prior_bucket,baseline_status,baseline_composite_score,baseline_signal_count,baseline_best_expectancy_r,baseline_best_trades,baseline_best_profit_factor,profile_path,result_dir
11,l3b-011-l3-006-adx-pmo-crossover-m5-tr-lb1,11,l3b-011-l3-006-adx-pmo-crossover-m5-tr-lb1,6,l3-006-adx-pmo-crossover-m5,trigger,PMO_CROSSOVER,1,2,trend,trend_pullback_continuation,ADX,filter,,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.99,probe_now,skipped_existing,0.0,1926.0,-0.0785,1889,0.7804,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-011-l3-006-adx-pmo-crossover-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-011-l3-006-adx-pmo-crossover-m5-tr-lb1
12,l3b-012-l3-006-adx-pmo-crossover-m5-tr-lb3,12,l3b-012-l3-006-adx-pmo-crossover-m5-tr-lb3,6,l3-006-adx-pmo-crossover-m5,trigger,PMO_CROSSOVER,3,2,trend,trend_pullback_continuation,ADX,filter,,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.99,probe_now,skipped_existing,0.0,1926.0,-0.0785,1889,0.7804,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-012-l3-006-adx-pmo-crossover-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-012-l3-006-adx-pmo-crossover-m5-tr-lb3
13,l3b-013-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb1,13,l3b-013-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb1,7,l3-007-toby-crabel-narrow-range-market-mode-transition-m15,trigger,MARKET_MODE_TRANSITION,1,2,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.9,probe_now,skipped_existing,0.0,125.0,-0.1205,120,0.8483,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-013-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-013-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb1
14,l3b-014-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb3,14,l3b-014-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb3,7,l3-007-toby-crabel-narrow-range-market-mode-transition-m15,trigger,MARKET_MODE_TRANSITION,3,2,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.9,probe_now,skipped_existing,0.0,125.0,-0.1205,120,0.8483,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-014-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-014-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb3
15,l3b-015-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb1,15,l3b-015-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb1,8,l3-008-ma-slope-trend-pmo-crossover-m5,trigger,PMO_CROSSOVER,1,2,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.73,probe_now,skipped_existing,60.5492,48.0,0.385,48,1.817,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-015-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-015-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb1
16,l3b-016-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb3,16,l3b-016-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb3,8,l3-008-ma-slope-trend-pmo-crossover-m5,trigger,PMO_CROSSOVER,3,2,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.73,probe_now,skipped_existing,60.5492,48.0,0.385,48,1.817,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-016-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-016-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb3
17,l3b-017-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb1,17,l3b-017-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb1,9,l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,trigger,PMO_CROSSOVER,1,2,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.54,probe_now,ok,0.0,2776.0,-0.0921,2659,0.8612,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-017-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-017-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb1
18,l3b-018-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb3,18,l3b-018-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb3,9,l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,trigger,PMO_CROSSOVER,3,2,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,PMO_CROSSOVER,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.54,probe_now,ok,0.0,2776.0,-0.0921,2659,0.8612,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-018-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-018-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb3
19,l3b-019-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb1,19,l3b-019-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb1,10,l3-010-adx-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,trend,trend_pullback_continuation,ADX,filter,,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.54,probe_now,ok,0.0,1984.0,-0.0569,1955,0.8337,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-019-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-019-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb1
20,l3b-020-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb3,20,l3b-020-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb3,10,l3-010-adx-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,trend,trend_pullback_continuation,ADX,filter,,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.54,probe_now,ok,0.0,1984.0,-0.0569,1955,0.8337,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-020-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-020-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb3
21,l3b-021-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb2,21,l3b-021-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb2,11,l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15,trigger,TTF_DSL_TRANSITION,2,1,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,TTF_DSL_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.46,probe_now,ok,0.0,86.0,0.0133,82,1.2435,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-021-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb2.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-021-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb2
22,l3b-022-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb3,22,l3b-022-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb3,11,l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15,trigger,TTF_DSL_TRANSITION,3,1,compression,breakout_compression_release,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,TTF_DSL_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.46,probe_now,ok,0.0,86.0,0.0133,82,1.2435,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-022-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-022-l3-011-toby-crabel-narrow-range-ttf-dsl-transition-m15-tr-lb3
23,l3b-023-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb1,23,l3b-023-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb1,12,l3-012-ma-slope-trend-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.28,probe_now,ok,0.0,41.0,-0.5236,41,0.5985,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-023-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-023-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb1
24,l3b-024-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb3,24,l3b-024-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb3,12,l3-012-ma-slope-trend-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,trend,trend_pullback_continuation,MA_SLOPE_TREND,context,trend,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M5,86.28,probe_now,ok,0.0,41.0,-0.5236,41,0.5985,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-024-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-024-l3-012-ma-slope-trend-toby-crabel-narrow-range-m5-tr-lb3
25,l3b-025-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb1,25,l3b-025-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb1,13,l3-013-kalman-velocity-confirm-market-mode-transition-m15,trigger,MARKET_MODE_TRANSITION,1,2,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.2,probe_now,ok,0.0,225.0,-0.0419,218,0.8904,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-025-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-025-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb1
26,l3b-026-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb3,26,l3b-026-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb3,13,l3-013-kalman-velocity-confirm-market-mode-transition-m15,trigger,MARKET_MODE_TRANSITION,3,2,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,MARKET_MODE_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.2,probe_now,ok,0.0,225.0,-0.0419,218,0.8904,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-026-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-026-l3-013-kalman-velocity-confirm-market-mode-transition-m15-tr-lb3
27,l3b-027-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb1,27,l3b-027-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb1,14,l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.09,probe_now,ok,0.0,3090.0,-0.0607,2898,0.9061,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-027-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb1.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-027-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb1
28,l3b-028-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb3,28,l3b-028-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb3,14,l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,compression,breakout_compression_release,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,TOBY_CRABEL_NARROW_RANGE,trigger,confirm,M5,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,86.09,probe_now,ok,0.0,3090.0,-0.0607,2898,0.9061,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-028-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-028-l3-014-bollinger-keltner-squeeze-filter-toby-crabel-narrow-range-m5-tr-lb3
29,l3b-029-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb2,29,l3b-029-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb2,15,l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15,trigger,TTF_DSL_TRANSITION,2,1,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,TTF_DSL_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,85.76,probe_now,ok,0.0,166.0,-0.0315,162,0.9335,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-029-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb2.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-029-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb2
30,l3b-030-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb3,30,l3b-030-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb3,15,l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15,trigger,TTF_DSL_TRANSITION,3,1,trend,trend_pullback_continuation,KALMAN_VELOCITY_CONFIRM,setup,confirm,TTF_DSL_TRANSITION,trigger,confirm,M15,"EURUSD,GBPUSD,USDJPY,XAUUSD",M15,85.76,probe_now,ok,0.0,166.0,-0.0315,162,0.9335,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\profiles\l3b-030-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb3.json,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-030-l3-015-kalman-velocity-confirm-ttf-dsl-transition-m15-tr-lb3
